userName,content,score,reviewCreatedVersion,at,Sentimen (Aurel),Sentimen (Ade),Sentimen (Eky),Sentimen Akhir,translated_content,processed_text,textblob_ready_text,tokens,lemmatized_tokens,afinn_score,afinn_label,swn_pos_score,swn_neg_score,swn_sentiment_score,swn_label,senticnet_score,senticnet_label,textblob_polarity,textblob_subjectivity,textblob_label
lailita roza,"Bagus sekali, cepat kerjanya",5,4.3.0,2023-01-28 01:52:35,1.0,1.0,1.0,Positif,Very good. Let's get to work.,very good lets get to work,very good. let's get to work.,"['very', 'good', 'lets', 'get', 'to', 'work']","['very', 'good', 'let', 'get', 'to', 'work']",3.0,Positif,1.125,0.25,0.875,Positif,0.5455,Positif,0.9099999999999999,0.7800000000000001,Positif
Sofyan Mangka,Membantu,3,4.3.0,2023-01-13 03:22:18,1.0,1.0,1.0,Positif,Help,help,help,['help'],['help'],2.0,Positif,0.5,0.0,0.5,Positif,0.9,Positif,0.0,0.0,Netral
Rhea Media,bagus bagus,5,4.2.3,2022-01-20 09:00:00,1.0,1.0,1.0,Positif,Good. Good.,good good,good. good.,"['good', 'good']","['good', 'good']",6.0,Positif,1.25,0.0,1.25,Positif,0.191,Positif,0.7,0.6000000000000001,Positif
Suroto Suroto,Semoga bermanfaat,5,4.2.3,2022-12-01 13:46:33,1.0,1.0,1.0,Positif,I hope it's worth it.,i hope its worth it,i hope it's worth it.,"['i', 'hope', 'its', 'worth', 'it']","['i', 'hope', 'its', 'worth', 'it']",4.0,Positif,0.125,0.125,0.0,Netral,0.515,Positif,0.3,0.1,Positif
Andre Aji Saputra,Gilak mau mintak kode verifiaksi aja harus ada pulsa,1,4.2.3,2022-01-04 10:26:00,-1.0,-1.0,-1.0,Negatif,It's crazy to ask for a verbic code. There has to be a pulse.,its crazy to ask for a verbic code there has to be a pulse,it's crazy to ask for a verbic code. there has to be a pulse.,"['its', 'crazy', 'to', 'ask', 'for', 'a', 'verbic', 'code', 'there', 'has', 'to', 'be', 'a', 'pulse']","['its', 'crazy', 'to', 'ask', 'for', 'a', 'verbic', 'code', 'there', 'have', 'to', 'be', 'a', 'pulse']",-2.0,Negatif,0.5,0.5,0.0,Netral,0.627,Positif,-0.6,0.9,Negatif
ISMAT VAISZ HASSMY,Bagus,5,4.3.0,2023-01-30 18:06:04,1.0,1.0,1.0,Positif,Good.,good,good.,['good'],['good'],3.0,Positif,0.75,0.0,0.75,Positif,0.191,Positif,0.7,0.6000000000000001,Positif
Amri Seven,Good lah,5,4.3.0,2023-01-20 13:41:58,1.0,1.0,1.0,Positif,Good for you.,good for you,good for you.,"['good', 'for', 'you']","['good', 'for', 'you']",3.0,Positif,0.75,0.0,0.75,Positif,0.191,Positif,0.7,0.6000000000000001,Positif
LAHAGU ASAFATI,Baik,5,4.2.3,2022-01-01 02:25:00,1.0,1.0,1.0,Positif,Okay.,okay,okay.,['okay'],['okay'],0.0,Netral,0.125,0.125,0.0,Netral,0.17,Positif,0.5,0.5,Positif
Siti nurul Aisa,Sangat memudahkan untuk mencari informasi fasilitas kesehatan maupun perubahan data,5,4.3.0,2023-01-18 03:24:03,1.0,1.0,1.0,Positif,It is very easy to find information about health facilities as well as data changes,it is very easy to find information about health facilities as well as data changes,it is very easy to find information about health facilities as well as data changes,"['it', 'is', 'very', 'easy', 'to', 'find', 'information', 'about', 'health', 'facilities', 'as', 'well', 'as', 'data', 'changes']","['it', 'be', 'very', 'easy', 'to', 'find', 'information', 'about', 'health', 'facility', 'as', 'well', 'as', 'data', 'change']",1.0,Positif,2.125,0.75,1.375,Positif,0.4515,Positif,0.5633333333333334,1.0,Positif
Cahya Bela Nafisha,Bagus dan sangat membantu,4,4.2.3,2022-01-03 02:17:00,1.0,1.0,1.0,Positif,Nice and very helpful.,nice and very helpful,nice and very helpful.,"['nice', 'and', 'very', 'helpful']","['nice', 'and', 'very', 'helpful']",5.0,Positif,1.375,0.25,1.125,Positif,-0.4085,Negatif,0.4,0.65,Positif
Santo Santo,"Kenapa tiap kali masuk susah bener, katanya perangkat anda sudah di gunakan untuk login lebih dari 3 nomor induk kependudukan (nik) yg berbeda, solusi nya gimana supaya saya bisa menggunakan mobile jkn ini seperti semula??? Saya sudah upgrade ulang tapi tidak juga bisa di gunakan untuk cek yang lain,tks",1,4.2.3,2022-01-29 13:28:00,-1.0,-1.0,-1.0,Negatif,"Why is it that every time you come in so hard, you say your device has been used for more than three different parent numbers, how can I use the mobile wouldn't be like this??? I've been re-upgraded but can't be used for another check, either.",why is it that every time you come in so hard you say your device has been used for more than three different parent numbers how can i use the mobile wouldnt be like this ive been reupgraded but cant be used for another check either,"why is it that every time you come in so hard, you say your device has been used for more than three different parent numbers, how can i use the mobile wouldn't be like this??? i've been re-upgraded but can't be used for another check, either.","['why', 'is', 'it', 'that', 'every', 'time', 'you', 'come', 'in', 'so', 'hard', 'you', 'say', 'your', 'device', 'has', 'been', 'used', 'for', 'more', 'than', 'three', 'different', 'parent', 'numbers', 'how', 'can', 'i', 'use', 'the', 'mobile', 'wouldnt', 'be', 'like', 'this', 'ive', 'been', 'reupgraded', 'but', 'cant', 'be', 'used', 'for', 'another', 'check', 'either']","['why', 'be', 'it', 'that', 'every', 'time', 'you', 'come', 'in', 'so', 'hard', 'you', 'say', 'your', 'device', 'have', 'be', 'use', 'for', 'more', 'than', 'three', 'different', 'parent', 'number', 'how', 'can', 'i', 'use', 'the', 'mobile', 'wouldnt', 'be', 'like', 'this', 'ive', 'be', 'reupgraded', 'but', 'cant', 'be', 'use', 'for', 'another', 'check', 'either']",1.0,Positif,2.125,1.75,0.375,Positif,0.082,Positif,0.06944444444444443,0.5472222222222222,Positif
Muhammad Baim,"Aplikasi bagus & bermanfaat sekali untuk keluarga saya, Terima kasih 🙏",5,4.2.3,2022-01-28 02:23:00,1.0,1.0,1.0,Positif,"It's a great application. & very useful to my family, Thank you. &lt;i&gt;Is that so?&lt;/i&gt; &lt;i&gt; Thank you.&lt;/i&gt; &lt;i&gt; Thank you.&lt;/i&gt; &lt;i&gt; Thank you. &lt;i&gt; Thank you.&lt;/i&gt; &lt;i&gt; Thank you. &lt;/i&gt; &lt;i&gt; Thank you. &lt;/i&gt; &lt;/i&gt; &lt;i&gt; Thank you. &lt;/i&gt; &lt;/i&gt;",its a great application very useful to my family thank you ltigtis that soltigt ltigt thank youltigt ltigt thank youltigt ltigt thank you ltigt thank youltigt ltigt thank you ltigt ltigt thank you ltigt ltigt ltigt thank you ltigt ltigt,"it's a great application. & very useful to my family, thank you. &lt;i&gt;is that so?&lt;/i&gt; &lt;i&gt; thank you.&lt;/i&gt; &lt;i&gt; thank you.&lt;/i&gt; &lt;i&gt; thank you. &lt;i&gt; thank you.&lt;/i&gt; &lt;i&gt; thank you. &lt;/i&gt; &lt;i&gt; thank you. &lt;/i&gt; &lt;/i&gt; &lt;i&gt; thank you. &lt;/i&gt; &lt;/i&gt;","['its', 'a', 'great', 'application', 'very', 'useful', 'to', 'my', 'family', 'thank', 'you', 'ltigtis', 'that', 'soltigt', 'ltigt', 'thank', 'youltigt', 'ltigt', 'thank', 'youltigt', 'ltigt', 'thank', 'you', 'ltigt', 'thank', 'youltigt', 'ltigt', 'thank', 'you', 'ltigt', 'ltigt', 'thank', 'you', 'ltigt', 'ltigt', 'ltigt', 'thank', 'you', 'ltigt', 'ltigt']","['its', 'a', 'great', 'application', 'very', 'useful', 'to', 'my', 'family', 'thank', 'you', 'ltigtis', 'that', 'soltigt', 'ltigt', 'thank', 'youltigt', 'ltigt', 'thank', 'youltigt', 'ltigt', 'thank', 'you', 'ltigt', 'thank', 'youltigt', 'ltigt', 'thank', 'you', 'ltigt', 'ltigt', 'thank', 'you', 'ltigt', 'ltigt', 'ltigt', 'thank', 'you', 'ltigt', 'ltigt']",21.0,Positif,0.25,0.25,0.0,Netral,0.7769166666666667,Positif,0.595,0.375,Positif
abdul hakim,"Dengan aplikasi JKN sangat membantu sekali, terima kasih mobile JKN.",5,4.2.3,2022-01-16 01:47:00,1.0,1.0,1.0,Positif,"With JKN apps it's very helpful, thank you mobile JKN.",with jkn apps its very helpful thank you mobile jkn,"with jkn apps it's very helpful, thank you mobile jkn.","['with', 'jkn', 'apps', 'its', 'very', 'helpful', 'thank', 'you', 'mobile', 'jkn']","['with', 'jkn', 'apps', 'its', 'very', 'helpful', 'thank', 'you', 'mobile', 'jkn']",4.0,Positif,0.5,0.25,0.25,Positif,-0.019999999999999962,Netral,0.2,0.3,Positif
